звездный;астральный,звездный
луна;месяц,луна,полумесяц
лунный;лунный,месячный
небо;эмпирей,небо,небосклон,небосвод
поднебесье;высь,вышина,поднебесье,высота
солнцестояние;солнцестояние,солнцеворот
берег;брег,поморье,взморье,побережье,прибрежье,берег
прибрежный;побережный,береговой,прибережный,прибрежный
болото;топь,блато,трясина,болотина,зыбун,болото
болотистый;болотистый,топкий,вязкий
долина;долина,впадина,дол,низменность,низина
долинный;низинный,долинный
зыбкий;колеблющийся,зыбучий,зыбкий
каменистый;каменистый,кремнистый
континент;континент,материк
континентальный;континентальный,материковый
луг;лужок,луг,лужайка,полянка,поляна
мшистый;мшистый,обомшелый,замшелый
наносной;наносной,намывной,наплывной
неровный;выбитый,бугристый,изрытый,пересеченный,неровный,разбитый,изрезанный
отлогий;отлогий,отложистый,пологий
отлого;полого,отлого
почва;почва,грунт,земля
почвенный;грунтовый,почвенный,земляной
скалистый;утесистый,скалистый
суша;суша,твердь,берег,земля
тропинка;стежка,тропа,дорожка,тропка,тропинка
холмистость;холмистость,бугристость,волнистость
холмистый;бугристый,волнистый,холмистый,гористый,всхолмленный
холмисто;холмисто,волнисто,бугристо
вершина;пик,вершина
возвышенность;пригорок,возвышение,взгорок,юр,бугор,взлобок,нагорье,взгорье,высотка,возвышенность,увал,угор,холм,высота
вулкан;сопка,вулкан
крутой;отвесный,крутой,обрывистый,крутосклонный
насыпь;вал,насыпь
плоскогорье;плоскогорье,плато
подножие и подножье;подножие и подножье,подошва
скала;скала,утес
склон;скат,наклон,склон,крутосклон,откос,косогор,уклон,крутогор
котловина;котловина,впадина
обрыв;крутизна,яр,обрыв,круча,крутогор,крутояр
овраг;лощина,балка,ложбина,овраг,яруга,буерак,распадок,изложина,яр,лог
овражек;ложок,ложбинка,овражек,лощинка
овражный;логовой,ложбинный,овражный,буерачный,лощинный
пропасть;бездна,пропасть
ров;кювет,ров,канава
ровик;канавка,ровик
канавный;кюветный,канавный
ухаб;рытвина,ухаб,колдобина,выбоина,яма,ухабина
ущелье;расселина,теснина,ущелье,расщелина,каньон,ущелина
бездна;глубина,пучина,бездна,глубь,хлябь
бурный;бурлящий,бушующий,шумный,кипучий,бурливый,бурный,неспокойный
верховье;верховье,исток
водоворот;вертун,круговорот,коловорот,пучина,воронка,водоворот,омут
волна;волна,вал,барашки,бурун
волнение;волнение,волны,зыбь,прибой,рябь
впадать;вливаться,впадать,вытекать
заводь;затон,заводь
залив;залив,губа,лукоморье,бухта
мелкий;неглубокий,мелкий,мелководный
падать;падать,свергаться,низвергаться
плотина;запруда,плотина
поверхность;гладь,поверхность,зеркало
приток;приток,прилив,наплыв
река;поток,река
родник;криница,ключ,родник,источник
рукав;проток и протока,рукав
течение;стрежень,ток,стремя,быстрина,течение,стремнина
течь;хлестать,течь,извергаться,бежать,сочиться,струиться,протекать,литься,хлыстать,бить,точиться,капать,хлобыстать,изливаться,лить,катиться,идти
устье;устье,впадение,дельта,понизовье,низовье
всходить;взойти,подняться,восходить,вставать,всходить,подниматься,встать
закат;закат,заход
заходить;закатиться,зайти,садиться,заходить,сесть,закатываться
зарница;зарница,сполох,всполох
заря;эос,свет,зоренька,зорька,рассвет,денница,заря,аврора
клубиться;клубить,дымиться,дымить,клубиться,куриться
мираж;марево,моргана,мираж
неяркость;неяркость,тусклость,бледность
неяркий;сумеречный,подслеповатый,слабый,угасающий,тусклый,бледный,чахоточный,мерклый,неяркий
неярко;неярко,бледно,тускло,слабо
освещать;озарить,осиять,высветлить,высвечивать,высветить,осветить,высветлять,озарять,освещать
отблеск;отлив,блик,отсвет,отблеск
отблескивать;отблескивать,отливать,отливаться,отсвечивать,бликовать,отсвечиваться
отражаться;отражаться,отразиться,отсвечиваться,отсвечивать
проблеск;вспышка,проблеск,просветление
рассветать;посветлеть,рассвести,развиднять,развидняться,развиднеть,светать,рассветать,брезжить,развиднеться,светлеть,брезжиться
сверкание;горение,переливы,сверкание,блеск,поблескивание,сияние,игра,блистание
сверкать;взблескивать,блестеть,переливаться,искриться,поблескивать,сиять,гореть,играть,сверкать,звездиться,блистать,переливать
сверкающий;горящий,переливающийся,блескучий,сияющий,блистательный,сверкающий,искрящийся,поблескивающий,блестящий,искристый,блистающий
свет;огонь,свечение,свет,сверкание,сияние,мерцание
светиться;просвечивать,теплиться,мерцать,моргать,мигать,светить,лучиться,брезжить,сквозить,сиять,гореть,сверкать,светиться,брезжиться
смеркаться;вечереть,смеркнуть,свечереть,меркнуть,смеркнуться,смеркаться,стемнеть,темнеть,стемнеться,темнеться
сумрак;сумрак,полумгла,полумрак,полусвет,сумерки,мгла,полусумрак,полутьма
темнота;темень,темь,мрак,темнота,чернота,тьма,потемки,мгла
темный;непроглядный,сумрачный,неосвещенный,темный,беспросветный,беспроглядный,непроницаемый,черный
туман;мара,марь,мгла,пар,муть,мга,курево,дымка,марево,хмарь,туман
туманный;туманный,мглистый,мутный
туча;хмара,туча
яркость;ослепительность,яркость
яркий;слепящий,яркий,сияющий,ослепительный
ярко;ярко,ослепительно,слепяще
безветрие;штиль,тишь,затишье,безветрие
безветренный;безветренный,тихий,штилевой,затишный
безоблачный;погожий,ведренный,ясный,солнечный,безоблачный
безоблачно;ведренно,ясно,солнечно,безоблачно
влажность;влага,сырость,влажность,мокрота,сырь
влажный;дождливый,мокрый,слякотный,мозглый,гнилой,сырой,промозглый,влажный
влажно;влажно,сыро
